ANO,CO_MES,CO_PRDT,CO_GEO2,CO_GEO3,kt_true,kt_test,kt_test_lr,experiment_id,oc_true,oc_test,oc_proba
26,01,31042090,081,999,55.853729248046875,48.83148717880248,119.31733750736011,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,0.8288333333333333
26,02,31042090,081,999,101.38919067382812,84.0754912912278,111.78511530558269,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,03,31042090,081,999,130.43780517578125,80.74370748519897,66.85276044209796,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,04,31042090,081,999,103.33829498291016,135.82384830810912,117.89025243123373,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,05,31042090,081,999,160.7642364501953,92.23692875302025,80.87276585896808,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,06,31042090,081,999,145.8623046875,125.84946022033691,96.74937795003257,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,07,31042090,081,999,184.51939392089844,119.58444923845927,85.19998575846355,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,08,31042090,081,999,139.90057373046875,134.61553694915767,148.95176289876304,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,09,31042090,081,999,164.65174865722656,155.70516590499875,176.208230082194,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,10,31042090,081,999,101.59600067138672,158.47030432128906,118.3891855875651,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,11,31042090,081,999,122.69200134277344,93.84933933398841,121.52164840698242,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
26,12,31042090,081,999,110.3423843383789,85.30253752390547,99.03056106567384,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,01,31042090,081,999,78.74029541015625,46.039805956522635,91.49422583580017,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,0.9282575757575756
27,02,31042090,081,999,82.38999938964844,94.8125147471545,108.77144165039064,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,03,31042090,081,999,145.78662109375,115.33867088317871,92.59051208496093,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,04,31042090,081,999,140.34100341796875,139.59652602005008,102.27523969014487,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,05,31042090,081,999,114.02499389648438,58.75012743871174,95.79491271972655,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,06,31042090,081,999,90.22222900390625,81.27237564086914,107.54287312825521,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,07,31042090,081,999,177.59780883789062,138.22657467278705,110.74092178344726,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,08,31042090,081,999,174.9100341796875,136.15258550470529,161.2804178873698,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,09,31042090,081,999,98.38167572021484,158.75648332624726,188.13985697428384,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,10,31042090,081,999,216.5040740966797,153.24193545948373,114.79117736816406,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,11,31042090,081,999,97.03677368164062,103.57990450451864,96.25519510904945,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
27,12,31042090,081,999,115.7863998413086,92.9193034841832,97.73967412312825,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,01,31042090,081,999,67.65800476074219,58.387986134847004,70.61270502451302,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,0.9381666666666665
28,02,31042090,081,999,100.41809844970703,93.71618658882684,98.15643742879232,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,03,31042090,081,999,53.047000885009766,133.31474000930785,107.43204231262207,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,04,31042090,081,999,147.39662170410156,174.19945273190453,128.6121620178223,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,05,31042090,081,999,131.08599853515625,103.41353728040056,91.76568578084311,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,06,31042090,081,999,219.4617919921875,144.6105386352539,106.76149698893228,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,07,31042090,081,999,78.56310272216797,154.974742147264,135.6170903523763,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,08,31042090,081,999,120.77698516845703,140.48088859848747,163.7930887858073,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,09,31042090,081,999,131.9710693359375,137.4885645375933,166.5232162475586,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,10,31042090,081,999,129.99606323242188,155.76793285369874,151.18411712646486,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,11,31042090,081,999,138.7786102294922,133.95919292445421,70.65574010213214,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
28,12,31042090,081,999,143.6255340576172,99.2874982271497,100.69076995849609,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,01,31042090,081,999,73.75,59.92773093032837,74.89175554223965,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,0.9326666666666665
29,02,31042090,081,999,17.0,96.15565812219498,110.42488759358724,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,03,31042090,081,999,38.83722686767578,78.2463394355774,94.54802424112955,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,04,31042090,081,999,152.2730712890625,152.2417127790451,152.6387938181559,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,05,31042090,081,999,111.2020034790039,90.54675592549641,92.60926411946616,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,06,31042090,081,999,89.39600372314453,152.47430343627929,142.04822591145836,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,07,31042090,081,999,91.7589111328125,119.06764599947381,124.43702723185223,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,08,31042090,081,999,82.86699676513672,139.2189344262483,146.3958755493164,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,09,31042090,081,999,131.76780700683594,135.8448842762911,148.14420115152993,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,10,31042090,081,999,111.42100524902344,156.09981438269983,157.34336853027344,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,11,31042090,081,999,75.7040023803711,134.98468009501622,98.06895955403644,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
29,12,31042090,081,999,140.65675354003906,112.144898182592,112.7255739847819,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
30,01,31042090,081,999,40.32600021362305,74.48922740364075,75.41974131266278,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,0.9142142857142856
30,02,31042090,081,999,67.02400207519531,60.63487050243202,71.97640965779622,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
30,03,31042090,081,999,46.069786071777344,48.09614532470703,84.7851703643799,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
30,04,31042090,081,999,27.94445037841797,92.3188216666267,149.34512888590496,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
30,05,31042090,081,999,61.23400115966797,81.73213466226487,107.64694697062174,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
30,06,31042090,081,999,19.25,91.24287002563477,133.06698099772137,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
30,07,31042090,081,999,92.57272338867188,106.6623288369612,100.83457590738931,839b2c96-8bb9-4923-88dd-dc8123c03c21,1.0,1.0,1.0
